ID,Districte,Categoria,Subcategoria,Títol,Descripció,Propostes,Suports,Comentaris,Participants,Intervencions,URL
3516,Sant Martí,Transició ecològica,Mobilitat sostenible,Ampliar zones d'aparcament regulat,"<div>D'acord amb el pla de mobilitat i espai públic del districte, ampliar les zones d’aparcament regulat als barris de la Verneda, Sant Martí i Parc i la Llacuna del Poblenou on actualment encara no hi ha zones verdes ni blaves. Establir zones d'aparcament de motos en calçada per tal de garantir l'espai públic en voreres per a vianants.</div>",2,4,1,0,0,https://decidim.barcelona/action_plans/3516
3447,Eixample,Transició ecològica,Mobilitat sostenible,Mesures per la pacificació de carrers i de reducció de la velocitat,<div>Fem dels carrers un lloc més habitable i millor per a viure. Es pot fer reduint la velocitat de circulació o transformant alguns carrers en vies verdes. Això millora la seguretat dels vianants i redueix la contaminació  acústica i desincentiva l'ús del vehicle privat  dins de la ciutat. Planificar cooperativament amb el veïnat la transformació de les vies. Es proposa:</div><div>- Pacificar carrers a l'entorn del Mercat de Sant Antoni     </div><div>- Analitzar la reconversió en vies verdes del carrer Tamarit que enllaça l'Av Mistral amb la Ronda i del carrer Borrell entre la Gran Via i el Paral·lel. </div>,4,77,17,268,0,https://decidim.barcelona/action_plans/3447
2658,Eixample,Bon viure,Justícia social,Model integral d'intervenció per a col·lectius i persones vulnerables,"Coordinar els diferents serveis socials, de salut, PIAD, d'ocupació, etcètera, per diagnosticar i abordar possibles casos de precarietat o pobresa, amb una atenció especial al col·lectiu de dones. Integrar en un model de gestió i d’atenció únic els serveis d’atenció personal a la dependència: teleassistència, SAD, AVI.",3,33,3,68,0,https://decidim.barcelona/action_plans/2658
4787,Gràcia,Bon viure,Autonomia personal ,Posar en valor la funció social de les festes majors,"<div>Promoure que la programació de les festes majors dels cinc barris inclogui activitats per a infants i adults amb discapacitats, aprofundint amb el model iniciat en els darrers anys a la Festa Major de Gràcia. </div>",5,108,6,45,0,https://decidim.barcelona/action_plans/4787
4788,Gràcia,Bon viure,Educació i coneixement ,Posar en funcionament l'escola bressol Univers amb gestió pública,<div>Iniciar el funcionament ordinari al setembre del 2016 segons el model de gestió pública.</div>,1,23,0,0,0,https://decidim.barcelona/action_plans/4788
4798,Gràcia,Bon viure,Equitat de gènere i diversitat sexual,Impuls a la creació per part de les dones de Gràcia,"<div>Fomentar la creació cultural de les dones, des del territori i amb perspectiva de gènere. Aprofundir, entre d'altres, el projecte Minerva, com a punt de trobada per a les creadores del districte i com a altaveu del talent femení i la creació cultural de les dones de Gràcia. </div>",1,20,0,0,0,https://decidim.barcelona/action_plans/4798
4789,Gràcia,Bon viure,Educació i coneixement ,Municipalitzar la gestió de les escoles bressol Enxaneta i Caspolino,"<div>Prioritzar la gestió pública directe de l'EBM Enxaneta i Caspolino a partir del curs 2016-17, aprofitant que s'acaben els convenis actuals de gestió delegada.</div>",2,135,12,0,0,https://decidim.barcelona/action_plans/4789
4797,Gràcia,Bon viure,Equitat de gènere i diversitat sexual,Foment de les dones de Gràcia mitjançant la memòria història,"<div>Fer visible el paper de les dones amb un exercici de memòria històrica, amb actuacions com la reedició del llibre ""Les dones de Gràcia"" i publicar-ne una segona part.</div>",1,18,0,0,0,https://decidim.barcelona/action_plans/4797
4791,Gràcia,Bon viure,Educació i coneixement ,Mapa escolar del districte amb inclusió de les escoles bressol,"<div>Elaborar un mapa escolar del Districte (de 0 a 18 anys) amb tots els centres de l'àrea d'influència i els voltants, conjuntament amb la comunitat educativa (Consell Escolar). Analitzar l'oferta i la demanda, tant en els centres públics, com en els privats amb concert públic.</div>",1,16,1,19,0,https://decidim.barcelona/action_plans/4791
4792,Gràcia,Bon viure,Educació i coneixement ,Programa de patis oberts,"Ampliar l'oferta de patis oberts com a espai d'ús públic per a famílies, infants i adolescents fora d'horari escolar, en cap de setmana i en període de vacances escolars. Oferir una alternativa de lleure, de manera autònoma, en un context segur i de proximitat.",1,71,2,0,0,https://decidim.barcelona/action_plans/4792
4815,Gràcia,Bon viure,Sanitat i salut,"Gràcia, districte saludable","<div>Promoure activitats afavoridores d'una bona qualitat de vida, des d’un punt de vista transversal. Afavorir una alimentació bàsica, la mobilitat sostenible, la pràctica esportiva, l’accés a l’atenció sanitària universal, i un espai públic i urbanisme accessibles. Garantir el dret d’envellir de manera digna i autònoma.</div><div>Elaboració d'un mapa de salut del Districte on hi estiguin recollits tots els equipaments i serveis.</div>",12,157,26,223,0,https://decidim.barcelona/action_plans/4815
4795,Gràcia,Bon viure,Equitat de gènere i diversitat sexual,Pla de coeducació,"<div>Dissenyar un programa de coeducació a les escoles en els àmbits sexual, de l’homofòbia i de la transfòbia en coordinació amb la Regidoria de Cicle de la Vida, Feminismes i LGTBI. Crear la xarxa d’escoles per la coeducació. Impulsar la sensibilització i la difusió de les polítiques d'igualtat i la perspectiva de gènere a tota la comunitat educativa.</div><div><br></div><div><br></div><div><br></div>",1,25,0,0,0,https://decidim.barcelona/action_plans/4795
4803,Gràcia,Bon viure,Cicles de vida ,Potenciar i ampliar els programes i activitats per a la gent gran,"<div>Potenciar i ampliar programes com els de teleassistència, Àpats, Vincles i d'altres. </div><div>Estudiar programes i serveis nous amb el propòsit de pal·liar la soledat no desitjada i garantir que les persones que ho vulguin puguin continuar residint en el seu domicili habitual, per reduir així al màxim possible el seu aïllament. </div><div>Difondre el protocol d'actuació davant el maltractament a les persones grans.</div><div>Mantenir la celebració dels diferents actes com la Setmana de la Gent Gran i el Dia Internacional, però posant l'accent en la diversitat del col·lectiu de gent gran per arribar a un públic molt més heterogeni.</div>",4,71,2,24,0,https://decidim.barcelona/action_plans/4803
4799,Gràcia,Bon viure,Cicles de vida ,"Projecte ""Radars""","<div>Potenciar el projecte ""Radars"" amb l'objectiu que les persones grans que viuen soles convisquin en el seu entorn pròxim, reduint-ne l’aïllament i l’exclusió gràcies a la participació de veïns i veïnes, comerciants, persones voluntàries i professionals de les entitats i serveis.</div>",5,86,5,172,0,https://decidim.barcelona/action_plans/4799
4806,Gràcia,Bon govern,Participació ciutadana,Definir l'ús dels nous equipaments: antic Consolat de Dinamarca i Can Carol,"<div>Definir els criteris per a l'activitat que s'ha de portar a terme als futurs equipaments nous de Vallcarca i els Penitents, amb la participació de les entitats i persones del barri.</div>",2,45,7,0,0,https://decidim.barcelona/action_plans/4806
4807,Gràcia,Bon govern,Acció comunitària,Aconseguir la cessió de l'antic CAP Quevedo i definir els seus usos,<div>Definir un nou espai per a entitats destinat al desenvolupament de projectes de l'àmbit de la salut i la cooperació a l’antic CAP Quevedo.</div><div><br></div>,3,22,2,62,0,https://decidim.barcelona/action_plans/4807
4813,Gràcia,Bon viure,Sanitat i salut,CUAP Gràcia (Centre d'Urgències d'Atenció Primària),"<div>Condicionar el CAP del carrer de Larrard com a CUAP amb atenció de serveis d'urgències de 24 hores, amb un model sanitari integrat de l’atenció primària de seguiment als malalts crònics.</div>",2,57,1,30,0,https://decidim.barcelona/action_plans/4813
4811,Gràcia,Bon viure,Habitatge,Cercar sòl i edificis per a habitatge públic o cooperatives d'ús social,"<div>Localitzar sòl disponible per construir-hi habitatge públic de lloguer i edificis per destinar-los a aquest mateix ús, especialment per a col·lectius amb especials dificultats: joves, gent gran, persones amb discapacitat, famílies monoparentals, famílies nombroses, etc. Fomentar experiències de masoveria urbana.</div>",12,133,9,322,0,https://decidim.barcelona/action_plans/4811
4809,Gràcia,Bon viure,Cicles de vida ,Projecte d'emprenedoria juvenil,"Potenciar i ampliar el projecte d'emprenedoria de l'Espai Jove La Fontana orientat a reduir l'atur juvenil, mitjançant l'autoocupació, amb accent especial a la formació i l'assessorament per facilitar l'accés al món professional.",1,19,0,0,0,https://decidim.barcelona/action_plans/4809
4796,Gràcia,Bon viure,Equitat de gènere i diversitat sexual,Prevenir i abordar la violència de gènere,"<div>Prevenir la violència de gènere amb accions amb l'alumnat dels centres educatius, amb els infants i joves de les entitats de lleure i amb les famílies de les AMPA per mitjà del projecte ""Trenquem el silenci. Abordar la violència masclista"". </div><div><br></div><div>Abordar la violència masclista des de la transversalitat, amb incidència especial en les activitats al carrer i les festes majors.</div>",1,41,0,0,0,https://decidim.barcelona/action_plans/4796
4804,Gràcia,Bon viure,Cicles de vida ,Casals de joves a la Vila de Gràcia i al Camp d'en Grassot i Gràcia Nova,"<div>Estudiar la viabilitat per crear els casals de joves del Camp d'en Grassot i Gràcia Nova, a l'entorn de la Sedeta, i de la Vila de Gràcia.</div>",2,49,1,0,0,https://decidim.barcelona/action_plans/4804
4812,Gràcia,Bon viure,Sanitat i salut,CAP Vila de Gràcia,"Acabar les obres, adequar l'espai (Cibeles) i obrir el que esdevindrà el nou centre d’atenció primària de la Vila de Gràcia. Esponjar els serveis que va assumir el CAP Pare Claret.",2,59,3,30,0,https://decidim.barcelona/action_plans/4812
4802,Gràcia,Bon viure,Cicles de vida ,Projectes intergeneracionals entre gent gran i jove,"Donar suport a diversos projectes intergeneracionals, per tal d'afavorir els espais compartits, potenciant els projectes desenvolupats per les entitats del tercer sector i de voluntariat, de lleure infantil, adolescents, joves i gent gran.",1,34,0,21,0,https://decidim.barcelona/action_plans/4802
4814,Gràcia,Bon viure,Sanitat i salut,Taula de coordinació de salut mental,"Crear un espai de reflexió, intercanvi de recursos, centralització de serveis i treball col·laboratiu respecte a l’atenció integral de la salut mental.",6,98,5,197,0,https://decidim.barcelona/action_plans/4814
4793,Gràcia,Bon viure,Educació i coneixement ,Projectes escolars amb el Centre de Recursos Pedagògics,<div>Millorar la col·laboració amb el Centre de Recursos Pedagògics pel que fa a la implementació de projectes pedagògics en els centres educatius. Creació d'una xarxa d'intercanvi d'experiències i aprenentatges.</div>,2,50,4,0,0,https://decidim.barcelona/action_plans/4793
3185,Ciutat Vella,Transició ecològica,Mobilitat sostenible,Millorar el servei de bus,"<div>Millorar el servei de bus a Ciutat Vella per fomentar-ne l'ús entre la ciutadania, revisar el recorregut i la freqüència de pas del Bus del Barri, les condicions d'ús i la distància entre les parades, reparar les plataformes d'accés per a persones amb mobilitat reduïda, millorar la informació quan hi hagi obres o canvis en les línies de bus. </div><div>Incorporar un bus que connecti l'Hospital del Mar amb el de l'Esperança. Ampliació de la línia 120.</div><div><br></div>",10,72,12,132,0,https://decidim.barcelona/action_plans/3185
6524,Eixample,Bon viure,Justícia social,Vetllar pel treball de la Unitat de prevenció de l’exclusió residencial i la pobresa energètica,"Vetllar per la coordinació correcta de la Unitat de prevenció de l’exclusió residencial i la pobresa energètica, la xarxa d’oficines d’habitatge i els serveis socials.",2,134,3,6,0,https://decidim.barcelona/action_plans/6524
2994,Horta - Guinardó,Transició ecològica,Urbanisme per als barris,Escales mecàniques,"<div>Prioritzar, conjuntament amb els veïns i veïnes, les actuacions necessàries per impulsar la instal·lació d'escales mecàniques o altres elements que garanteixin l'accessibilitat a alguns carrers dels barris amb més desnivell.	</div>",23,310,22,60,0,https://decidim.barcelona/action_plans/2994
2797,Sant Martí,Bon viure,Equitat de gènere i diversitat sexual,"Ampliar, reforçar i millorar la cobertura de tots els recursos i serveis que ofereix el PIAD del districte.","<div>Ampliar, reforçar i millorar la cobertura de tots els recursos i serveis que ofereix el PIAD del districte, estudiant la possibilitat de la seva descentralització per barris, amb l’objectiu de donar major cobertura en el territori.</div>",1,3,0,15,0,https://decidim.barcelona/action_plans/2797
2784,Sants Montjuïc,Transició ecològica,Verd urbà i biodiversitat ,Rehabilitació parcs i jardins Sants - Montjuïc.,"<div>Treballar la reordenació d'usos, establir una persona referent, revisar les tasques de manteniment i rehabilitar els parcs i jardins de Sants-Montjuïc, i de manera específica el Parc de l'Espanya Industrial. </div>",9,75,11,34,0,https://decidim.barcelona/action_plans/2784
3469,Ciutat Vella,Transició ecològica,Mobilitat sostenible,Senyalització semafòrica / coordinació / temps / interruptor a Ciutat Vella. ,<div>Revisar l'espaiament entre semàfors i augmentar-ne la durada. </div>,2,4,2,38,0,https://decidim.barcelona/action_plans/3469
2873,Nou Barris,Transició ecològica,Verd urbà i biodiversitat ,Millora dels parcs i jardins del districte i ampliació del verd urbà,"<div>Actuacions de millora als parcs de la Guineueta i de Serra Martí; urbanització de noves zones verdes en diferents barris del districte com Trinitat Nova, Turó de la Peira a la plaça Olof Palme, o Roquetes amb la Plaça de Les Dones</div>",1,33,4,0,0,https://decidim.barcelona/action_plans/2873
6509,Horta - Guinardó,Transició ecològica,Urbanisme per als barris,Intervencions urbanístiques a Montbau,"<div>Prioritzar la realització d'actuacions de millora de l’espai públic als carrers i les places del barri de Montbau facilitant l'ús i gaudi per part de la ciutadania, partir de la feina feta amb anterioritat i comptant amb la participació veïnal. Atenció especial als carrers amb més desnivell i els més malmesos, així com a la zona més propera a Collserola. Facilitar la mobilitat i la connectivitat amb els barris més propers, Sant Genís i Vall d'Hebrón.</div>",0,0,0,0,0,https://decidim.barcelona/action_plans/6509
3357,Sants Montjuïc,Bon viure,Cicles de vida ,Foment i suport a la participació juvenil a Sants - Montjuïc. ,"<div>Més difusió de les activitats que es fan al districte per aquest col.lectiu, pensant especialment en les persones migrades. Promoure la creació de vincles entre entitats. Crear espais comunitaris per joves i donar suport a les entitats i associacions més petites, especialment aquelles que treballen en l'àmbit de l'educació en el lleure, com els Caus i els Esplais. Es facilitarà l'organització d'activitats a l'espai públic encarades a visibilitzar les entitats juvenils del Districte. </div>",4,20,3,20,0,https://decidim.barcelona/action_plans/3357
2629,Sant Martí,Bon viure,Equitat de gènere i diversitat sexual,Fomentar l’associacionisme de les dones al Districte de Sant Martí,"<div>Mitjançant la creació d’espais per a dones en diferents parts del territori on puguin trobar-se les diferents associacions, que restin oberts a la participació de totes aquelles dones que vulguin participar-hi. Espais aquests que alhora puguin acollir diferents serveis públics municipals especialitzats en l'atenció a la dona.</div><div><br></div><div>Per altra banda, també cal visibilitzar la tasca de les associacions de dones, així com la d'aquelles que treballen amb col·lectius específics, com dones migrades. </div>",8,10,6,120,0,https://decidim.barcelona/action_plans/2629
2681,Horta - Guinardó,Transició ecològica,Medi ambient i espai públic,Millorar el paviment i voreres al districte d'Horta - Guinardó,<div>Intervenir al paviment i les voreres del Districte d'Horta-Guinardó per a la millora de la qualitat de l'espai públic.</div>,3,43,6,0,0,https://decidim.barcelona/action_plans/2681
6411,Sarrià - Sant Gervasi,Transició ecològica,Mobilitat sostenible,Desplegament de la xarxa de carrils bici,<div>Desplegament de la xarxa de carrils bici</div>,1,10,3,53,0,https://decidim.barcelona/action_plans/6411
6491,Sant Andreu,Transició ecològica,Medi ambient i espai públic,Obertura del recinte de la Fabra i Coats al Carrer Gran,"<div>Amb la voluntat de fer més accessible el recinte de la Fabra i Coats, es proposa l'obertura d'un pas per a vianants que connecti el recinte amb el carrer Gran de Sant Andreu.</div>",0,0,0,0,0,https://decidim.barcelona/action_plans/6491
6440,Ciutat Vella,Bon viure,Cultura,Fer un mapa d'equipaments i activitats culturals,<div>Fer un mapa d'equipaments i activitats culturals en el marc d'un pla estratègic per donar suport a la cultura de base.</div>,2,0,0,196,0,https://decidim.barcelona/action_plans/6440
2903,Gràcia,Bon viure,Sanitat i salut,Identificar els nous usos de l'Hospital de l'Esperança ,<div>Repensar els nous usos de l’Hospital de l’Esperança  i promoure que siguin per a un ús públic del districte</div>,1,13,0,30,0,https://decidim.barcelona/action_plans/2903
4829,Gràcia,Economia plural,Desenvolupament i economia de proximitat,Pla d'usos de Gràcia ,"<div>Revisar, aprovar definitivament i desenvolupar el Pla d'usos de Gràcia, establint els criteris que controlin la saturació d'establiments de pública concurrència al centre de la Vila de Gràcia. Crear elements de transparència de les llicències, afavorint canals de comunicació estables amb els veïns i veïnes.</div>",2,21,2,60,0,https://decidim.barcelona/action_plans/4829
4826,Gràcia,Economia plural,Desenvolupament i economia de proximitat,Mercat de la Llibertat: promoure el producte de proximitat i ecològic,"Mantenir l’impuls del projecte ""Mercat verd"" del Mercat de la Llibertat, promocionant el producte ecològic i de proximitat en el sector de l'alimentació, facilitant-ne l’accés als ciutadans i afavorint el comerç sostenible.",1,31,0,0,0,https://decidim.barcelona/action_plans/4826
4827,Gràcia,Economia plural,Desenvolupament i economia de proximitat,Reforma del Mercat de l'Abaceria,"<div>Elaborar el projecte i iniciar la reforma del mercat, tot preservant el teixit comercial de proximitat de l'entorn i crear una plataforma logística que faciliti la mobilitat a l'entorn. Col·laborar amb els paradistes i els agents socials del barri en l'estudi previ i en la definició del model de reforma i la redacció del projecte.</div>",3,53,21,19,0,https://decidim.barcelona/action_plans/4827
2872,Les Corts,Transició ecològica,Urbanisme per als barris,Executatr  el Pla Europa-Anglesola,Finalitzar el Pla Europa-Anglesola en aquest mandat garantint el reallotjament de les persones afectades.Urbanització del parc interior del pla d'Anglesola,1,12,0,0,0,https://decidim.barcelona/action_plans/2872
2671,Gràcia,Transició ecològica,Medi ambient i espai públic,Ordenació singular de terrasses ,<div>Revisar l'actual ordenança de terrasses en les places reforçant  la participació ciutadana en el disseny i la gestió de l'espai públic i  establint els mecanismes de gestió i de disciplina necessaris per  millorar la convivència</div>,17,28,16,493,0,https://decidim.barcelona/action_plans/2671
2980,Horta - Guinardó,Transició ecològica,Urbanisme per als barris,Intervencions urbanístiques al Guinardó,"<div>Prioritzar la realització d'actuacions de millora de l’espai públic als carrers i les places del barri del Guinardó facilitant l'ús i gaudi per part de la ciutadania, partir de la feina feta amb anterioritat i comptant amb la participació veïnal. Atenció especial als carrers amb més desnivell i els més malmesos. Afavorir la mobilitat per als vianants creant eixos cívics al barri.</div>",20,372,34,30,0,https://decidim.barcelona/action_plans/2980
2985,Horta - Guinardó,Transició ecològica,Urbanisme per als barris,Intervencions urbanístiques a Sant Genís dels Agudells,"<div>Prioritzar la realització d'actuacions de millora de l’espai públic als carrers i les places del barri de Sant Genís dels Agudells facilitant l'ús i gaudi per part de la ciutadania, partir de la feina feta amb anterioritat i comptant amb la participació veïnal. Atenció especial als carrers amb més desnivell i els més malmesos, així com a la zona més propera a Collserola. Definir els nous usos de l'antic camp de fútbol de manera participada. </div>",7,125,14,0,0,https://decidim.barcelona/action_plans/2985
6383,Sants Montjuïc,Transició ecològica,Mobilitat sostenible,"Ampliació de les zones de limitació de velocitat: zones 30, 20, 10","<div>Elaborar un estudi per ampliar les zones 30, entorns més segurs i amb calçades de coexistència de trànsit motoritzat i bicicletes; zones de velocitat restringida a 20 km/h, on vianants, bicicletes i vehicles coexisteixen en plataformes úniques, i trams de velocitat restringida a 10 km/h i prioritat invertida, que són espais segurs de prioritat per als vianants.</div>",9,172,19,0,0,https://decidim.barcelona/action_plans/6383
2852,Sants Montjuïc,Transició ecològica,Urbanisme per als barris,Intervencions urbanístiques a La Bordeta i Can Batlló,"<div>Es continuarà amb el desenvolupament del PAU 1 de Can Batlló: enderrocs, vials i zones verdes; i així recuperar el recinte pels veïns i les veïnes.</div>",5,97,6,27,0,https://decidim.barcelona/action_plans/2852
6412,Sarrià - Sant Gervasi,Transició ecològica,Mobilitat sostenible,Desplegament del Bicing (elèctric) a les àrees del districte on no n'hi ha,<div>Desplegament del Bicing (elèctric) a les àrees del districte on no n'hi ha</div>,1,20,9,0,0,https://decidim.barcelona/action_plans/6412
6510,Sant Andreu,Bon viure,Cicles de vida ,Promocionar i facilitar l'autoorganització juvenil en la programació d'activitats,<div>Desenvolupament d'una línia de suport a les activitats organitzades pels joves que donin resposta a les seves inquietuds i demandes. </div>,0,0,0,0,0,https://decidim.barcelona/action_plans/6510
2587,Ciutat Vella,Bon viure,Educació i coneixement ,Posar en marxa programes de suport educatiu i de salut mental en sinergia amb l’entorn,"<div>Posar en marxa, a les escoles i instituts més desafavorits, programes de suport educatiu i de salut mental en sinergia amb l’entorn, de manera que s’hi incorporin diferents agents socials (educadors socials, treballadors socials i psicòlegs) i entitats socials que puguin desenvolupar tasques d’assessorament i suport als professionals dels serveis socials.</div>",0,0,0,0,0,https://decidim.barcelona/action_plans/2587
4837,Gràcia,Economia plural,Turisme sostenible,Desenvolupament territorial del Pla estratègic de turisme,<div>Elaborar un pla de districte en línia amb el Pla de turisme de ciutat. Identificar l'impacte del turisme al districte i les oportunitats. </div><div><br></div><div><br></div>,16,68,22,690,0,https://decidim.barcelona/action_plans/4837
2965,Gràcia,Transició ecològica,Urbanisme per als barris,Pla dels Tres Turons,"<div>Convertir el parc en la veritable façana dels barris de la Salut, el Coll i Mas Falcó en una fase prèvia del desenvolupament del Pla dels Tres Turons.</div>",24,74,24,630,0,https://decidim.barcelona/action_plans/2965
6382,,Bon viure,Habitatge,"Crear un fons públic que promogui el lloguer accessible, el cohabitatge i la rehabilitació ","<div>Crear un fons econòmic municipal que garanteixi el cobrament de rendes als propietaris que cedeixen els seus pisos en lloguer social, que pugui finançar projectes de noves cooperatives i faciliti obres de rehabilitació de les comunitats de propietaris amb menys recursos. </div><div><br></div>",7,26,9,460,0,https://decidim.barcelona/action_plans/6382
3208,,Bon viure,Cicles de vida ,Garantir el dret a l'habitatge de les persones joves,"<div>Fomentar l'emancipació residencial a les persones joves, generant ajudes d'accés a l'habitatge. Reservar un percentatge per a menors de 35 anys en les promocions d'habitatge públic, així com mobilitzar pisos de la Societat de Gestió d'Actius Procedents de la Reestructuració Bancària (SAREB). Potenciar i desplegar habitatge públic en dret de superfície i de models alternatius (cessió d'ús, masoveria urbana, etc.).</div>",1,19,2,32,0,https://decidim.barcelona/action_plans/3208
6381,,Bon viure,Habitatge,Impulsar l'establiment de límits en el preu dels lloguers per part de les administracions competents,"<div>Barcelona és la ciutat de l'Estat espanyol amb més habitatges de lloguer privat, un 30 %, i també la ciutat on els lloguers han pujat més durant el darrer any. Malgrat que el control del mercat de lloguer no és competència municipal, des de l'Ajuntament s'instarà el govern central i la Generalitat a intervenir o atorgar a les ciutats la capacitat per fer-ho. Per incidir en aquesta demanda, l'Ajuntament crearà un indicador de preus de lloguer de referència per a cada barri.</div><div><br></div>",11,901,80,321,0,https://decidim.barcelona/action_plans/6381
3083,Sant Andreu,Bon viure,Cicles de vida ,Casal Infantil a Trinitat Vella,<div>Obertura d'un nou Casal Infantil a Trinitat Vella en el marc dels equipaments previstos a Porta Trinitat. Definir de manera conjunta amb les famílies usuàries i els infants el programa de serveis que ha d'oferir l'equipament. </div><div>Fins la posada en servei del nou equipament dur a terme actuacions de manteniment i millora de les instal·lacions actuals i millora del programa de serveis que s'hi ofereix. </div><div><br></div>,12,4,12,120,0,https://decidim.barcelona/action_plans/3083
4818,Gràcia,Bon viure,Cultura,Recuperar i difondre la memòria històrica,"<div>Potenciar actuacions encaminades a difondre aspectes de la memòria històrica: investigacions, publicacions, exposicions i conferències de difusió. Iniciar la retirada de les plaques franquistes de les façanes dels edificis del districte.</div><div>Recuperar espais i entorns històrics del Districte fomentant el coneixement de la història i del patrimoni local.</div><div><br></div>",9,138,13,52,0,https://decidim.barcelona/action_plans/4818
4805,Gràcia,Bon govern,Acció comunitària,"Pla d'equipaments, espais i serveis de Gràcia","<div>Elaborar un pla d’equipaments que contempli diferents espais i serveis (culturals, juvenils...) en funció de les necessitats sòcio-demogràfiques dels diferents barris, de forma participada i tenint en compte les noves oportunitats de construcció, rehabilitació i/o adequació de nous equipaments i la màxima eficiència de la gestió dels ja existents.</div>",31,664,84,645,0,https://decidim.barcelona/action_plans/4805
3034,,Transició ecològica,Energia i canvi climàtic,Sistemes sostenibles de producció d'energia i autoconsum,"<div>Aplicar sistemes sostenibles de producció d'energia i incentivar també els particulars i les comunitats. Línia de subvencions per donar suport a la producció d'energies renovables, com la solar (tèrmica i fotovoltaica), eòlica, etc. Promoure i impulsar l'autoconsum.</div>",11,409,9,280,0,https://decidim.barcelona/action_plans/3034
2907,Ciutat Vella,Transició ecològica,Verd urbà i biodiversitat ,Crear àrees per a gossos a Ciutat Vella.,<div>Crear més àrees d'esbarjo per a gossos i millorar-ne el manteniment. </div>,2,27,2,20,0,https://decidim.barcelona/action_plans/2907
