f,propuestas,votos,comentarios
Ciutat Vella---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---organización,5,39,4
Ciutat Vella---Vivir Bien---Ciclos de vida---ciudadano,6,9,4
Ciutat Vella---Vivir Bien---Ciclos de vida---encuentro,35,119,22
Ciutat Vella---Vivir Bien---Ciclos de vida---oficial,5,74,18
Ciutat Vella---Vivir Bien---Ciclos de vida---organización,7,23,3
Ciutat Vella---Vivir Bien---Convivencia y seguridad---ciudadano,23,327,59
Ciutat Vella---Vivir Bien---Convivencia y seguridad---encuentro,32,133,21
Ciutat Vella---Vivir Bien---Convivencia y seguridad---oficial,3,26,35
Ciutat Vella---Vivir Bien---Convivencia y seguridad---organización,10,37,0
Ciutat Vella---Vivir Bien---Cultura---ciudadano,10,323,22
Ciutat Vella---Vivir Bien---Cultura---encuentro,31,40,5
Ciutat Vella---Vivir Bien---Cultura---oficial,5,116,26
Ciutat Vella---Vivir Bien---Cultura---organización,7,59,7
Ciutat Vella---Vivir Bien---Deportes---ciudadano,2,12,0
Ciutat Vella---Vivir Bien---Deportes---encuentro,13,23,1
Ciutat Vella---Vivir Bien---Deportes---oficial,1,15,2
Ciutat Vella---Vivir Bien---Deportes---organización,2,34,10
Ciutat Vella---Vivir Bien---Educación y conocimiento---ciudadano,9,159,24
Ciutat Vella---Vivir Bien---Educación y conocimiento---encuentro,21,30,19
Ciutat Vella---Vivir Bien---Educación y conocimiento---oficial,7,134,23
Ciutat Vella---Vivir Bien---Educación y conocimiento---organización,29,177,14
Ciutat Vella---Vivir Bien---Equidad de género y diversidad sexual---ciudadano,1,4,0
Ciutat Vella---Vivir Bien---Equidad de género y diversidad sexual---encuentro,23,78,2
Ciutat Vella---Vivir Bien---Equidad de género y diversidad sexual---oficial,3,38,16
Ciutat Vella---Vivir Bien---Justicia social---encuentro,13,2,18
Ciutat Vella---Vivir Bien---Justicia social---oficial,2,55,3
Ciutat Vella---Vivir Bien---Justicia social---organización,10,100,8
Ciutat Vella---Vivir Bien---Migración interculturalidad y discriminación cero---ciudadano,1,0,0
Ciutat Vella---Vivir Bien---Migración interculturalidad y discriminación cero---encuentro,12,15,0
Ciutat Vella---Vivir Bien---Migración interculturalidad y discriminación cero---oficial,8,116,17
Ciutat Vella---Vivir Bien---Migración interculturalidad y discriminación cero---organización,1,5,0
Ciutat Vella---Vivir Bien---Sanidad y salud---ciudadano,3,93,2
Ciutat Vella---Vivir Bien---Sanidad y salud---encuentro,27,91,17
Ciutat Vella---Vivir Bien---Sanidad y salud---oficial,8,118,27
Ciutat Vella---Vivir Bien---Sanidad y salud---organización,6,27,1
Ciutat Vella---Vivir Bien---Vivienda---ciudadano,1,3,1
Ciutat Vella---Vivir Bien---Vivienda---encuentro,13,79,5
Ciutat Vella---Vivir Bien---Vivienda---oficial,7,188,29
Ciutat Vella---Vivir Bien---Vivienda---organización,16,161,3
Eixample---Buen gobierno---Acción comunitaria---ciudadano,2,19,3
Eixample---Buen gobierno---Acción comunitaria---encuentro,13,76,12
Eixample---Buen gobierno---Acción comunitaria---oficial,3,42,5
Eixample---Buen gobierno---Acción comunitaria---organización,7,75,7
Eixample---Buen gobierno---Administración inteligente e inclusiva---encuentro,1,3,0
Eixample---Buen gobierno---Administración inteligente e inclusiva---oficial,2,33,0
Eixample---Buen gobierno---Administración inteligente e inclusiva---organización,1,4,0
Eixample---Buen gobierno---Eficiencia y profesionalidad---organización,1,11,0
Eixample---Buen gobierno---Gobierno transparente y rendición de cuentas---organización,4,54,7
Eixample---Buen gobierno---Participación ciudadana---encuentro,2,14,0
Eixample---Buen gobierno---Participación ciudadana---oficial,1,16,0
Eixample---Buen gobierno---Participación ciudadana---organización,6,73,0
Eixample---Economía plural---Desarrollo y economía de proximidad---encuentro,5,6,2
Eixample---Economía plural---Desarrollo y economía de proximidad---oficial,8,430,21
Eixample---Economía plural---Desarrollo y economía de proximidad---organización,7,136,1
Eixample---Economía plural---Economía cooperativa social y solidaria---encuentro,10,59,0
Eixample---Economía plural---Economía cooperativa social y solidaria---oficial,5,255,20
Eixample---Economía plural---Economía cooperativa social y solidaria---organización,5,59,1
Eixample---Economía plural---Empleo de calidad---oficial,1,16,0
Eixample---Economía plural---Turismo sostenible---ciudadano,4,99,0
Eixample---Economía plural---Turismo sostenible---encuentro,21,245,12
Eixample---Economía plural---Turismo sostenible---oficial,9,721,65
Eixample---Economía plural---Turismo sostenible---organización,5,83,7
Eixample---Economía plural---Un nuevo liderazgo público---oficial,1,11,1
Eixample---Justicia global---Ciudad de acogida---oficial,1,20,0
Eixample---Justicia global---Ciudad de acogida---organización,4,114,9
Eixample---Justicia global---Justicia global---organización,1,8,3
Eixample---Transición ecológica---Energía y cambio climático---ciudadano,1,92,0
Eixample---Transición ecológica---Energía y cambio climático---encuentro,1,2,0
Eixample---Transición ecológica---Energía y cambio climático---oficial,4,108,3
Eixample---Transición ecológica---Energía y cambio climático---organización,3,59,1
Eixample---Transición ecológica---Medio ambiente y espacio público---ciudadano,8,356,30
Eixample---Transición ecológica---Medio ambiente y espacio público---encuentro,11,64,3
Eixample---Transición ecológica---Medio ambiente y espacio público---oficial,3,158,19
Eixample---Transición ecológica---Medio ambiente y espacio público---organización,8,147,2
Eixample---Transición ecológica---Movilidad sostenible---ciudadano,24,725,38
Eixample---Transición ecológica---Movilidad sostenible---encuentro,16,119,5
Eixample---Transición ecológica---Movilidad sostenible---oficial,4,826,135
Eixample---Transición ecológica---Movilidad sostenible---organización,10,588,35
Eixample---Transición ecológica---Urbanismo para los barrios---ciudadano,32,1500,128
Eixample---Transición ecológica---Urbanismo para los barrios---encuentro,13,57,21
Eixample---Transición ecológica---Urbanismo para los barrios---oficial,9,293,11
Eixample---Transición ecológica---Urbanismo para los barrios---organización,14,277,21
Eixample---Transición ecológica---Verde urbano y biodiversidad---ciudadano,10,252,10
Eixample---Transición ecológica---Verde urbano y biodiversidad---encuentro,4,11,0
Eixample---Transición ecológica---Verde urbano y biodiversidad---organización,3,118,12
Eixample---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,10,29,6
Eixample---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,7,111,23
Eixample---Vivir Bien---Ciclos de vida---ciudadano,1,13,1
Eixample---Vivir Bien---Ciclos de vida---encuentro,24,234,30
Eixample---Vivir Bien---Ciclos de vida---oficial,19,293,19
Eixample---Vivir Bien---Ciclos de vida---organización,3,29,1
Eixample---Vivir Bien---Convivencia y seguridad---ciudadano,8,126,20
Eixample---Vivir Bien---Convivencia y seguridad---encuentro,3,32,3
Eixample---Vivir Bien---Convivencia y seguridad---oficial,3,46,6
Eixample---Vivir Bien---Convivencia y seguridad---organización,3,23,0
Eixample---Vivir Bien---Cultura---ciudadano,9,54,4
Eixample---Vivir Bien---Cultura---encuentro,6,21,3
Eixample---Vivir Bien---Cultura---oficial,8,210,16
Eixample---Vivir Bien---Cultura---organización,3,35,3
Eixample---Vivir Bien---Defensa y protección de los derechos humanos---encuentro,1,7,0
Eixample---Vivir Bien---Deportes---ciudadano,3,19,0
Eixample---Vivir Bien---Deportes---encuentro,2,8,1
Eixample---Vivir Bien---Deportes---oficial,2,39,8
Eixample---Vivir Bien---Deportes---organización,2,31,11
Eixample---Vivir Bien---Educación y conocimiento---ciudadano,8,357,41
Eixample---Vivir Bien---Educación y conocimiento---encuentro,11,40,18
Eixample---Vivir Bien---Educación y conocimiento---oficial,14,742,60
Eixample---Vivir Bien---Educación y conocimiento---organización,4,56,11
Eixample---Vivir Bien---Equidad de género y diversidad sexual---encuentro,10,148,2
Eixample---Vivir Bien---Equidad de género y diversidad sexual---oficial,7,140,10
Eixample---Vivir Bien---Justicia social---encuentro,4,11,5
Eixample---Vivir Bien---Justicia social---oficial,5,647,9
Eixample---Vivir Bien---Justicia social---organización,6,92,5
Eixample---Vivir Bien---Migración interculturalidad y discriminación cero---ciudadano,1,3,0
Eixample---Vivir Bien---Migración interculturalidad y discriminación cero---encuentro,1,2,0
Eixample---Vivir Bien---Migración interculturalidad y discriminación cero---oficial,1,20,0
Eixample---Vivir Bien---Sanidad y salud---ciudadano,1,4,0
Eixample---Vivir Bien---Sanidad y salud---encuentro,8,27,8
Eixample---Vivir Bien---Sanidad y salud---oficial,4,105,25
Eixample---Vivir Bien---Sanidad y salud---organización,5,110,10
Eixample---Vivir Bien---Vivienda---ciudadano,3,58,6
Eixample---Vivir Bien---Vivienda---encuentro,6,7,0
Eixample---Vivir Bien---Vivienda---oficial,4,95,8
Eixample---Vivir Bien---Vivienda---organización,3,46,0
Gràcia---Buen gobierno---Acción comunitaria---ciudadano,1,309,13
Gràcia---Buen gobierno---Acción comunitaria---encuentro,12,54,7
Gràcia---Buen gobierno---Acción comunitaria---oficial,4,67,5
Gràcia---Buen gobierno---Acción comunitaria---organización,12,333,24
Gràcia---Buen gobierno---Administración inteligente e inclusiva---encuentro,2,4,0
Gràcia---Buen gobierno---Eficiencia y profesionalidad---encuentro,1,5,1
Gràcia---Buen gobierno---Gobierno transparente y rendición de cuentas---encuentro,2,8,2
Gràcia---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,1,14,0
Gràcia---Buen gobierno---Participación ciudadana---ciudadano,1,143,6
Gràcia---Buen gobierno---Participación ciudadana---encuentro,7,27,5
Gràcia---Buen gobierno---Participación ciudadana---oficial,4,102,13
Gràcia---Buen gobierno---Participación ciudadana---organización,6,35,5
Gràcia---Economía plural---Desarrollo y economía de proximidad---ciudadano,2,7,0
Gràcia---Economía plural---Desarrollo y economía de proximidad---encuentro,5,24,0
Gràcia---Economía plural---Desarrollo y economía de proximidad---oficial,6,148,24
Gràcia---Economía plural---Desarrollo y economía de proximidad---organización,9,80,4
Gràcia---Economía plural---Economía cooperativa social y solidaria---ciudadano,1,3,0
Gràcia---Economía plural---Economía cooperativa social y solidaria---encuentro,10,31,0
Gràcia---Economía plural---Economía cooperativa social y solidaria---oficial,4,161,39
Gràcia---Economía plural---Economía cooperativa social y solidaria---organización,4,32,2
Gràcia---Economía plural---Empleo de calidad---ciudadano,1,0,0
Gràcia---Economía plural---Empleo de calidad---encuentro,1,0,0
Gràcia---Economía plural---Empleo de calidad---oficial,2,33,2
Gràcia---Economía plural---Turismo sostenible---ciudadano,1,3,1
Gràcia---Economía plural---Turismo sostenible---encuentro,19,39,9
Gràcia---Economía plural---Turismo sostenible---oficial,2,67,21
Gràcia---Economía plural---Turismo sostenible---organización,1,20,0
Gràcia---Economía plural---Un nuevo liderazgo público---organización,1,1,0
Gràcia---Transición ecológica---Energía y cambio climático---ciudadano,3,22,0
Gràcia---Transición ecológica---Energía y cambio climático---encuentro,2,9,5
Gràcia---Transición ecológica---Energía y cambio climático---oficial,1,32,1
Gràcia---Transición ecológica---Energía y cambio climático---organización,4,49,5
Gràcia---Transición ecológica---Medio ambiente y espacio público---ciudadano,11,48,20
Gràcia---Transición ecológica---Medio ambiente y espacio público---encuentro,34,108,21
Gràcia---Transición ecológica---Medio ambiente y espacio público---oficial,6,196,20
Gràcia---Transición ecológica---Medio ambiente y espacio público---organización,10,114,16
Gràcia---Transición ecológica---Movilidad sostenible---ciudadano,33,643,104
Gràcia---Transición ecológica---Movilidad sostenible---encuentro,32,232,42
Gràcia---Transición ecológica---Movilidad sostenible---oficial,5,321,27
Gràcia---Transición ecológica---Movilidad sostenible---organización,11,126,26
Gràcia---Transición ecológica---Urbanismo para los barrios---ciudadano,50,739,122
Gràcia---Transición ecológica---Urbanismo para los barrios---encuentro,100,324,116
Gràcia---Transición ecológica---Urbanismo para los barrios---oficial,7,171,9
Gràcia---Transición ecológica---Urbanismo para los barrios---organización,31,275,98
Gràcia---Transición ecológica---Verde urbano y biodiversidad---ciudadano,14,996,46
Gràcia---Transición ecológica---Verde urbano y biodiversidad---encuentro,6,32,4
Gràcia---Transición ecológica---Verde urbano y biodiversidad---oficial,1,41,2
Gràcia---Transición ecológica---Verde urbano y biodiversidad---organización,5,135,14
Gràcia---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---ciudadano,6,186,18
Gràcia---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,7,107,4
Gràcia---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,3,75,6
Gràcia---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---organización,2,33,2
Gràcia---Vivir Bien---Ciclos de vida---ciudadano,1,0,0
Gràcia---Vivir Bien---Ciclos de vida---encuentro,13,109,6
Gràcia---Vivir Bien---Ciclos de vida---oficial,9,244,11
Gràcia---Vivir Bien---Ciclos de vida---organización,6,150,24
Gràcia---Vivir Bien---Convivencia y seguridad---ciudadano,8,107,14
Gràcia---Vivir Bien---Convivencia y seguridad---encuentro,19,42,4
Gràcia---Vivir Bien---Convivencia y seguridad---oficial,1,20,14
Gràcia---Vivir Bien---Convivencia y seguridad---organización,6,142,16
Gràcia---Vivir Bien---Cultura---ciudadano,3,48,0
Gràcia---Vivir Bien---Cultura---encuentro,10,99,14
Gràcia---Vivir Bien---Cultura---oficial,6,136,9
Gràcia---Vivir Bien---Cultura---organización,12,181,12
Gràcia---Vivir Bien---Defensa y protección de los derechos humanos---ciudadano,1,16,1
Gràcia---Vivir Bien---Deportes---ciudadano,4,62,3
Gràcia---Vivir Bien---Deportes---encuentro,2,6,2
Gràcia---Vivir Bien---Deportes---oficial,4,55,5
Gràcia---Vivir Bien---Educación y conocimiento---ciudadano,4,275,96
Gràcia---Vivir Bien---Educación y conocimiento---encuentro,10,69,13
Gràcia---Vivir Bien---Educación y conocimiento---oficial,8,494,37
Gràcia---Vivir Bien---Educación y conocimiento---organización,9,410,35
Gràcia---Vivir Bien---Equidad de género y diversidad sexual---encuentro,1,1,0
Gràcia---Vivir Bien---Equidad de género y diversidad sexual---oficial,4,104,0
Gràcia---Vivir Bien---Equidad de género y diversidad sexual---organización,1,27,2
Gràcia---Vivir Bien---Justicia social---ciudadano,1,112,2
Gràcia---Vivir Bien---Justicia social---encuentro,14,4,10
Gràcia---Vivir Bien---Justicia social---organización,2,118,0
Gràcia---Vivir Bien---Migración interculturalidad y discriminación cero---ciudadano,1,0,1
Gràcia---Vivir Bien---Sanidad y salud---encuentro,15,183,3
Gràcia---Vivir Bien---Sanidad y salud---oficial,4,124,14
Gràcia---Vivir Bien---Sanidad y salud---organización,4,27,2
Gràcia---Vivir Bien---Vivienda---ciudadano,4,72,9
Gràcia---Vivir Bien---Vivienda---encuentro,11,5,0
Gràcia---Vivir Bien---Vivienda---oficial,1,33,6
Gràcia---Vivir Bien---Vivienda---organización,2,40,1
Horta - Guinardó---Buen gobierno---Acción comunitaria---ciudadano,3,88,3
Horta - Guinardó---Buen gobierno---Acción comunitaria---encuentro,6,26,4
Horta - Guinardó---Buen gobierno---Acción comunitaria---oficial,8,250,7
Horta - Guinardó---Buen gobierno---Acción comunitaria---organización,3,79,2
Horta - Guinardó---Buen gobierno---Administración inteligente e inclusiva---encuentro,2,4,2
Horta - Guinardó---Buen gobierno---Administración inteligente e inclusiva---oficial,1,15,1
Horta - Guinardó---Buen gobierno---Eficiencia y profesionalidad---oficial,1,9,0
Horta - Guinardó---Buen gobierno---Gobierno transparente y rendición de cuentas---ciudadano,2,42,4
Horta - Guinardó---Buen gobierno---Gobierno transparente y rendición de cuentas---encuentro,2,1,1
Horta - Guinardó---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,1,26,0
Horta - Guinardó---Buen gobierno---Gobierno transparente y rendición de cuentas---organización,1,6,0
Horta - Guinardó---Buen gobierno---Participación ciudadana---ciudadano,3,40,6
Horta - Guinardó---Buen gobierno---Participación ciudadana---encuentro,4,1,4
Horta - Guinardó---Buen gobierno---Participación ciudadana---oficial,2,95,5
Horta - Guinardó---Economía plural---Desarrollo y economía de proximidad---ciudadano,5,115,4
Horta - Guinardó---Economía plural---Desarrollo y economía de proximidad---encuentro,17,55,0
Horta - Guinardó---Economía plural---Desarrollo y economía de proximidad---oficial,5,115,21
Horta - Guinardó---Economía plural---Economía cooperativa social y solidaria---encuentro,3,0,0
Horta - Guinardó---Economía plural---Economía cooperativa social y solidaria---oficial,2,51,4
Horta - Guinardó---Economía plural---Economía cooperativa social y solidaria---organización,3,44,1
Horta - Guinardó---Economía plural---Empleo de calidad---oficial,2,55,5
Horta - Guinardó---Economía plural---Empleo de calidad---organización,1,9,0
Horta - Guinardó---Economía plural---Turismo sostenible---ciudadano,2,20,4
Horta - Guinardó---Economía plural---Turismo sostenible---encuentro,6,34,5
Horta - Guinardó---Economía plural---Turismo sostenible---oficial,2,72,13
Horta - Guinardó---Economía plural---Un nuevo liderazgo público---oficial,1,26,3
Horta - Guinardó---Justicia global---Justicia global---oficial,2,29,0
Horta - Guinardó---Transición ecológica---Energía y cambio climático---ciudadano,2,30,5
Horta - Guinardó---Transición ecológica---Energía y cambio climático---encuentro,2,16,1
Horta - Guinardó---Transición ecológica---Energía y cambio climático---organización,3,89,3
Horta - Guinardó---Transición ecológica---Medio ambiente y espacio público---ciudadano,20,291,29
Horta - Guinardó---Transición ecológica---Medio ambiente y espacio público---encuentro,13,36,2
Horta - Guinardó---Transición ecológica---Medio ambiente y espacio público---oficial,15,636,79
Horta - Guinardó---Transición ecológica---Medio ambiente y espacio público---organización,6,209,6
Horta - Guinardó---Transición ecológica---Movilidad sostenible---ciudadano,50,1270,83
Horta - Guinardó---Transición ecológica---Movilidad sostenible---encuentro,22,114,19
Horta - Guinardó---Transición ecológica---Movilidad sostenible---oficial,8,475,77
Horta - Guinardó---Transición ecológica---Movilidad sostenible---organización,29,866,28
Horta - Guinardó---Transición ecológica---Urbanismo para los barrios---ciudadano,51,1052,112
Horta - Guinardó---Transición ecológica---Urbanismo para los barrios---encuentro,32,105,45
Horta - Guinardó---Transición ecológica---Urbanismo para los barrios---oficial,12,503,35
Horta - Guinardó---Transición ecológica---Urbanismo para los barrios---organización,25,649,28
Horta - Guinardó---Transición ecológica---Verde urbano y biodiversidad---ciudadano,14,216,4
Horta - Guinardó---Transición ecológica---Verde urbano y biodiversidad---encuentro,10,124,7
Horta - Guinardó---Transición ecológica---Verde urbano y biodiversidad---oficial,6,245,30
Horta - Guinardó---Transición ecológica---Verde urbano y biodiversidad---organización,3,75,4
Horta - Guinardó---Transición ecológica---Vivienda---encuentro,1,2,1
Horta - Guinardó---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---ciudadano,16,137,28
Horta - Guinardó---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,3,53,2
Horta - Guinardó---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,1,37,3
Horta - Guinardó---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---organización,2,51,1
Horta - Guinardó---Vivir Bien---Ciclos de vida---ciudadano,3,48,4
Horta - Guinardó---Vivir Bien---Ciclos de vida---encuentro,6,10,2
Horta - Guinardó---Vivir Bien---Ciclos de vida---oficial,5,106,2
Horta - Guinardó---Vivir Bien---Convivencia y seguridad---ciudadano,22,726,69
Horta - Guinardó---Vivir Bien---Convivencia y seguridad---encuentro,8,35,3
Horta - Guinardó---Vivir Bien---Convivencia y seguridad---oficial,2,130,12
Horta - Guinardó---Vivir Bien---Convivencia y seguridad---organización,5,197,8
Horta - Guinardó---Vivir Bien---Cultura---ciudadano,11,1053,46
Horta - Guinardó---Vivir Bien---Cultura---encuentro,19,75,6
Horta - Guinardó---Vivir Bien---Cultura---oficial,2,121,13
Horta - Guinardó---Vivir Bien---Cultura---organización,5,103,1
Horta - Guinardó---Vivir Bien---Deportes---ciudadano,9,113,7
Horta - Guinardó---Vivir Bien---Deportes---encuentro,5,2,0
Horta - Guinardó---Vivir Bien---Deportes---oficial,5,342,37
Horta - Guinardó---Vivir Bien---Deportes---organización,1,14,0
Horta - Guinardó---Vivir Bien---Educación y conocimiento---ciudadano,5,629,23
Horta - Guinardó---Vivir Bien---Educación y conocimiento---oficial,5,436,5
Horta - Guinardó---Vivir Bien---Educación y conocimiento---organización,5,189,4
Horta - Guinardó---Vivir Bien---Equidad de género y diversidad sexual---encuentro,2,14,0
Horta - Guinardó---Vivir Bien---Equidad de género y diversidad sexual---oficial,2,58,3
Horta - Guinardó---Vivir Bien---Justicia social---ciudadano,2,18,1
Horta - Guinardó---Vivir Bien---Justicia social---encuentro,1,0,0
Horta - Guinardó---Vivir Bien---Justicia social---oficial,1,59,3
Horta - Guinardó---Vivir Bien---Sanidad y salud---ciudadano,4,84,1
Horta - Guinardó---Vivir Bien---Sanidad y salud---encuentro,17,179,2
Horta - Guinardó---Vivir Bien---Sanidad y salud---oficial,4,118,47
Horta - Guinardó---Vivir Bien---Sanidad y salud---organización,4,73,1
Horta - Guinardó---Vivir Bien---Vivienda---ciudadano,5,39,3
Horta - Guinardó---Vivir Bien---Vivienda---encuentro,7,4,0
Horta - Guinardó---Vivir Bien---Vivienda---oficial,3,60,12
Les Corts---Buen gobierno---Acción comunitaria---encuentro,12,9,5
Les Corts---Buen gobierno---Acción comunitaria---organización,11,162,15
Les Corts---Buen gobierno---Administración inteligente e inclusiva---encuentro,3,5,0
Les Corts---Buen gobierno---Administración inteligente e inclusiva---oficial,1,7,1
Les Corts---Buen gobierno---Gobierno transparente y rendición de cuentas---ciudadano,2,2,1
Les Corts---Buen gobierno---Gobierno transparente y rendición de cuentas---encuentro,1,2,1
Les Corts---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,2,32,0
Les Corts---Buen gobierno---Gobierno transparente y rendición de cuentas---organización,1,3,1
Les Corts---Buen gobierno---Participación ciudadana---encuentro,12,11,10
Les Corts---Buen gobierno---Participación ciudadana---oficial,2,17,0
Les Corts---Buen gobierno---Participación ciudadana---organización,5,41,4
Les Corts---Economía plural---Desarrollo y economía de proximidad---ciudadano,1,9,0
Les Corts---Economía plural---Desarrollo y economía de proximidad---encuentro,2,3,0
Les Corts---Economía plural---Desarrollo y economía de proximidad---oficial,5,31,2
Les Corts---Economía plural---Desarrollo y economía de proximidad---organización,1,22,0
Les Corts---Economía plural---Economía cooperativa social y solidaria---encuentro,5,22,0
Les Corts---Economía plural---Empleo de calidad---encuentro,1,0,0
Les Corts---Economía plural---Empleo de calidad---oficial,1,12,0
Les Corts---Economía plural---Empleo de calidad---organización,1,10,0
Les Corts---Economía plural---Turismo sostenible---encuentro,2,13,0
Les Corts---Economía plural---Turismo sostenible---oficial,3,14,3
Les Corts---Economía plural---Un nuevo liderazgo público---encuentro,1,0,0
Les Corts---Transición ecológica---Energía y cambio climático---ciudadano,2,2,2
Les Corts---Transición ecológica---Energía y cambio climático---encuentro,1,9,0
Les Corts---Transición ecológica---Energía y cambio climático---oficial,1,28,1
Les Corts---Transición ecológica---Energía y cambio climático---organización,2,28,6
Les Corts---Transición ecológica---Medio ambiente y espacio público---ciudadano,11,25,10
Les Corts---Transición ecológica---Medio ambiente y espacio público---encuentro,23,49,10
Les Corts---Transición ecológica---Medio ambiente y espacio público---oficial,2,17,4
Les Corts---Transición ecológica---Medio ambiente y espacio público---organización,6,45,15
Les Corts---Transición ecológica---Movilidad sostenible---ciudadano,26,86,38
Les Corts---Transición ecológica---Movilidad sostenible---encuentro,27,44,28
Les Corts---Transición ecológica---Movilidad sostenible---oficial,7,286,28
Les Corts---Transición ecológica---Movilidad sostenible---organización,17,198,18
