f,propostes,vots,comentaris
Ciutat---Bon viure---Convivència i seguretat---ciutadà,147,2257,407
Ciutat---Bon viure---Convivència i seguretat---trobada,24,61,20
Ciutat---Bon viure---Convivència i seguretat---oficial,10,161,153
Ciutat---Bon viure---Convivència i seguretat---organització,22,402,70
Ciutat---Bon viure---Cultura,246,3484,420
Ciutat---Bon viure---Cultura---ciutadà,96,1725,126
Ciutat---Bon viure---Cultura---trobada,109,291,11
Ciutat---Bon viure---Cultura---oficial,18,849,248
Ciutat---Bon viure---Cultura---organització,23,619,35
Ciutat---Bon viure---Defensa i protecció dels Drets Humans,16,430,37
Ciutat---Bon viure---Defensa i protecció dels Drets Humans---ciutadà,6,342,15
Ciutat---Bon viure---Defensa i protecció dels Drets Humans---oficial,5,45,18
Ciutat---Bon viure---Defensa i protecció dels Drets Humans---organització,5,43,4
Ciutat---Bon viure---Educació i coneixement,260,4516,487
Ciutat---Bon viure---Educació i coneixement---ciutadà,75,2001,159
Ciutat---Bon viure---Educació i coneixement---trobada,117,454,191
Ciutat---Bon viure---Educació i coneixement---oficial,15,1381,23
Ciutat---Bon viure---Educació i coneixement---organització,53,680,114
Ciutat---Bon viure---Equitat de gènere i diversitat sexual,153,1168,277
Ciutat---Bon viure---Equitat de gènere i diversitat sexual---ciutadà,21,331,22
Ciutat---Bon viure---Equitat de gènere i diversitat sexual---trobada,108,198,20
Ciutat---Bon viure---Equitat de gènere i diversitat sexual---oficial,15,480,207
Ciutat---Bon viure---Equitat de gènere i diversitat sexual---organització,9,159,28
Ciutat---Bon viure---Esports,156,1698,309
Ciutat---Bon viure---Esports---ciutadà,44,1156,118
Ciutat---Bon viure---Esports---trobada,85,151,5
Ciutat---Bon viure---Esports---oficial,19,316,183
Ciutat---Bon viure---Esports---organització,8,75,3
Ciutat---Bon viure---Habitatge,178,2637,277
Ciutat---Bon viure---Habitatge---ciutadà,50,1463,111
Ciutat---Bon viure---Habitatge---trobada,91,292,35
Ciutat---Bon viure---Habitatge---oficial,20,522,118
Ciutat---Bon viure---Habitatge---organització,17,360,13
Ciutat---Bon viure---Justícia social,139,2179,204
Ciutat---Bon viure---Justícia social---ciutadà,35,927,50
Ciutat---Bon viure---Justícia social---trobada,64,254,32
Ciutat---Bon viure---Justícia social---oficial,15,557,113
Ciutat---Bon viure---Justícia social---organització,25,441,9
Ciutat---Bon viure---Migració, interculturalitat i discriminació zero,127,436,98
Ciutat---Bon viure---Migració, interculturalitat i discriminació zero---ciutadà,17,63,0
Ciutat---Bon viure---Migració, interculturalitat i discriminació zero---trobada,92,80,10
Ciutat---Bon viure---Migració, interculturalitat i discriminació zero---oficial,16,268,86
Ciutat---Bon viure---Migració, interculturalitat i discriminació zero---organització,2,25,2
Ciutat---Bon viure---Sanitat i salut,388,2867,485
Ciutat---Bon viure---Sanitat i salut---ciutadà,73,1374,95
Ciutat---Bon viure---Sanitat i salut---trobada,280,681,33
Ciutat---Bon viure---Sanitat i salut---oficial,16,620,345
Ciutat---Bon viure---Sanitat i salut---organització,19,192,12
Ciutat---Economia plural,699,6536,1455
Ciutat---Economia plural---Desenvolupament i economia de proximitat,183,1408,258
Ciutat---Economia plural---Desenvolupament i economia de proximitat---ciutadà,28,670,65
Ciutat---Economia plural---Desenvolupament i economia de proximitat---trobada,92,162,23
Ciutat---Economia plural---Desenvolupament i economia de proximitat---oficial,15,273,163
Ciutat---Economia plural---Desenvolupament i economia de proximitat---organització,48,303,7
Ciutat---Economia plural---Economia cooperativa, social i solidària,159,1049,187
Ciutat---Economia plural---Economia cooperativa, social i solidària---ciutadà,14,424,24
Ciutat---Economia plural---Economia cooperativa, social i solidària---trobada,77,223,11
Ciutat---Economia plural---Economia cooperativa, social i solidària---oficial,10,111,149
Ciutat---Economia plural---Economia cooperativa, social i solidària---organització,58,291,3
Ciutat---Economia plural---Ocupació de qualitat,111,904,118
Ciutat---Economia plural---Ocupació de qualitat---ciutadà,26,507,22
Ciutat---Economia plural---Ocupació de qualitat---trobada,46,121,8
Ciutat---Economia plural---Ocupació de qualitat---oficial,5,87,78
Ciutat---Economia plural---Ocupació de qualitat---organització,34,189,10
Ciutat---Economia plural---Turisme sostenible,163,2179,726
Ciutat---Economia plural---Turisme sostenible---ciutadà,30,1102,485
Ciutat---Economia plural---Turisme sostenible---trobada,80,563,57
Ciutat---Economia plural---Turisme sostenible---oficial,6,218,160
Ciutat---Economia plural---Turisme sostenible---organització,47,296,24
Ciutat---Economia plural---Un nou lideratge públic,83,996,166
Ciutat---Economia plural---Un nou lideratge públic---ciutadà,17,555,26
Ciutat---Economia plural---Un nou lideratge públic---trobada,33,75,6
Ciutat---Economia plural---Un nou lideratge públic---oficial,12,192,115
Ciutat---Economia plural---Un nou lideratge públic---organització,21,174,19
Ciutat---Justícia global,53,647,49
Ciutat---Justícia global---Ciutat d’acollida,12,127,12
Ciutat---Justícia global---Ciutat d’acollida---ciutadà,3,38,2
Ciutat---Justícia global---Ciutat d’acollida---trobada,5,18,6
Ciutat---Justícia global---Ciutat d’acollida---oficial,1,65,2
Ciutat---Justícia global---Ciutat d’acollida---organització,3,6,2
Ciutat---Justícia global---Justícia global,41,520,37
Ciutat---Justícia global---Justícia global---ciutadà,10,94,15
Ciutat---Justícia global---Justícia global---trobada,9,21,5
Ciutat---Justícia global---Justícia global---oficial,10,342,7
Ciutat---Justícia global---Justícia global---organització,12,63,10
Ciutat---Transició ecològica,1099,34065,3156
Ciutat---Transició ecològica---Energia i canvi climàtic,157,5468,320
Ciutat---Transició ecològica---Energia i canvi climàtic---ciutadà,54,3331,128
Ciutat---Transició ecològica---Energia i canvi climàtic---trobada,78,148,10
Ciutat---Transició ecològica---Energia i canvi climàtic---oficial,16,1899,178
Ciutat---Transició ecològica---Energia i canvi climàtic---organització,9,90,4
Ciutat---Transició ecològica---Medi ambient i espai públic,192,8008,623
Ciutat---Transició ecològica---Medi ambient i espai públic---ciutadà,125,6533,394
Ciutat---Transició ecològica---Medi ambient i espai públic---trobada,34,142,23
Ciutat---Transició ecològica---Medi ambient i espai públic---oficial,11,954,170
Ciutat---Transició ecològica---Medi ambient i espai públic---organització,22,379,36
Ciutat---Transició ecològica---Mobilitat sostenible,513,14334,1540
Ciutat---Transició ecològica---Mobilitat sostenible---ciutadà,310,10611,944
Ciutat---Transició ecològica---Mobilitat sostenible---trobada,112,606,174
Ciutat---Transició ecològica---Mobilitat sostenible---oficial,10,947,303
Ciutat---Transició ecològica---Mobilitat sostenible---organització,81,2170,119
Ciutat---Transició ecològica---Urbanisme per als barris,97,1257,135
Ciutat---Transició ecològica---Urbanisme per als barris---ciutadà,44,570,66
Ciutat---Transició ecològica---Urbanisme per als barris---trobada,22,43,19
Ciutat---Transició ecològica---Urbanisme per als barris---oficial,24,596,44
Ciutat---Transició ecològica---Urbanisme per als barris---organització,7,48,6
Ciutat---Transició ecològica---Verd urbà i biodiversitat,140,4998,538
Ciutat---Transició ecològica---Verd urbà i biodiversitat---ciutadà,86,4005,375
Ciutat---Transició ecològica---Verd urbà i biodiversitat---trobada,34,115,16
Ciutat---Transició ecològica---Verd urbà i biodiversitat---oficial,11,719,134
Ciutat---Transició ecològica---Verd urbà i biodiversitat---organització,9,159,13
