ID de cita,Títol,Descripció,Data,Adreça,Districte,Categoria,Subcategoria,Assistents,Propostes,Intervencions,URL
472,Escoltem als joves de Gràcia,"Espai de debat per a recollir la diversitat d’opinions, propostes i iniciatives dels joves referents a les diferents temàtiques que els preocupen (ocupació, habitatge, equipaments, ús de l’espai públic...)",05/04/2016,"Carrer Gran de Gràcia, 190, 08012 Barcelona, Barcelona, Espanya",Gràcia,Bon viure,Cultura,7,6,50,https://decidim.barcelona/meetings/escoltem-els-joves-de-gracia
521,Sessió del treball del PAM amb tècnics i tècniques municipals. Justícia social,La sessió  tenia per finalitat contrastar i enriquir la proposta inicial del PAM en l’àmbit de la justícia social. ,17/02/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,Justícia social,32,21,36,https://decidim.barcelona/meetings/sessio-del-treball-del-pam-amb-tecnics-i-tecniques-municipals-justicia-social
473,Parc de les Infantes: Barcelona més humana i en transició ecològica,"En aquesta cita presencial el debat es centre en la qualitat del medi ambient i de l’espai públic, el verd urbà i la biodiversitat (desplaçament sostenible, contaminació, desigualtat de zones verdes, benestar dels animals, etc.). Van participar 6 infants i adolescents, 5 nenes i noies i un nen.",24/03/2016,"Jardins de les Infantes, Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,6,8,15,https://decidim.barcelona/meetings/parc-de-les-infantes-barcelona-mes-humana-i-en-transicio-ecologica
474,Pla de lluita contra el sensellarisme ,L'objectiu d'aquesta sessió és identificar les principals línies de canvi en les polítiques d'atenció a les persones sense llar. ,30/03/2016,"Travessia de Sant Antoni, 6, 08012 Barcelona, España",Gràcia,Bon viure,Habitatge,52,21,50,https://decidim.barcelona/meetings/sensellarisme
475,Medi ambient i espai públic a IES Montjuïc La Marina,"En aquesta cita han participat adolescents de 15 i 16 anys, als quals se'ls ha convidat a debatre sobre qüestions de medi ambient i espai públic al seu barri: La Marina del Port.",17/03/2016,"Ies Montjuic, Carrer del Cisell, La Marina de Port, Barcelona, Espanya",Sants Montjuïc,Transició ecològica,Medi ambient i espai públic,20,8,0,https://decidim.barcelona/meetings/medi-ambient-i-espai-public-a-ies-montjuic-la-marina
476,Escola Pia Sant Antoni ,"Al debat de l'Escola Pia Sant Antoni 10 adolescents de 3r i 4rt de la ESO, 7 nois i 3 noies, han expressat diverses propostes per millorar la sostenibilitat de la seva ciutat.",29/03/2016,"Ronda de Sant Pau, 72, 08001 Barcelona, Barcelona, Espanya",,Transició ecològica,Energia i canvi climàtic,10,8,0,https://decidim.barcelona/meetings/escola-pia-sant-antoni
477, Jornada de debat: l'habitatge com a dret,"Acte obert a tothom per debatre sobre les necessitats i les actuacions que s'han de portar a terme per avançar en garantir l'habitatge com a dret. La jornada s'iniciarà amb presentacions de l'alcaldessa Ada Colau i del regidor d'habitatge Josep Maria Montaner. 
Inscripció a http://goo.gl/forms/v7Q7WGqExs",02/04/2016,"Carrer de Sants, 79, 08014 Barcelona, España",,Bon viure,Habitatge,200,12,40,https://decidim.barcelona/meetings/jornada-de-debat-l-habitatge-com-a-dret
478,Decidim Horta Guinardó punts mòbils,Decidim Horta Guinardó punts mòbils,30/03/2016,"Passatge de Tossa, Barcelona, España",Horta - Guinardó,Bon govern,Participació ciutadana,8,3,10,https://decidim.barcelona/meetings/decidim-horta-guinardo-punts-mobils
479,Comerç al Guinardó i al Baix Guinardó,,31/03/2016,"Ronda del Guinardó, 49, 08024 Barcelona, Barcelona, Espanya",Horta - Guinardó,Economia plural,Desenvolupament i economia de proximitat,10,5,3,https://decidim.barcelona/meetings/comerc-al-guinardo-i-al-baix-guinardo
480,Decidim Horta Guinardó-Zona Vall d'Hebron,"A peu de carrer, s'agafen propostes de millora pel districte d'Horta Guinardó.",31/03/2016,"Plaça de l'Estatut, 08032 Barcelona, Barcelona, España",Horta - Guinardó,Bon govern,Participació ciutadana,1,3,1,https://decidim.barcelona/meetings/decidim-horta-guinardo-zona-vall-d-hebron
484,Pla Municipal 2016-2019 des de la Gerència de Recursos,"Donar a conèixer els objectius/actuacions/projectes estratègics de la Gerència de Recursos per al període de govern 2016-2019 , i construir i contribuir entre tots i totes el Pla Municipal.
L’objectiu prioritari és generar un espai de trobada i debat per construir un full de ruta comú i compartit. 
Actuacions per a debatre.",10/03/2016,"Carrer de Calàbria, 66, 08015 Barcelona, Espanya",,Bon govern,Eficiència i professionalitat,74,6,100,https://decidim.barcelona/meetings/pla-municipal-2016-2019-des-de-la-gerencia-de-recursos
486,Escola Els Arcs: Una Barcelona més humana i en transició ecològica (4rt ESO A),"A la cita presencial de l’Escola Els arcs, els 31 estudiants de 4rt d’ESO A van debatre diferents propostes per millorar l’urbanisme als barris de Barcelona.",31/03/2016,"Ronda de Sant Pau, 72, 08001 Barcelona, Espanya",,Transició ecològica,Urbanisme per als barris,31,8,0,https://decidim.barcelona/meetings/escola-els-arcs-una-barcelona-mes-humana-i-en-transicio-ecologica-urbanisme-per-als-barris
487,Oficina de la Transparència i Bones Pràctiques ,"Donar a conèixer els objectius/actuacions/projectes en matèria de transparència de la Gerència de Recursos per al període de govern 2016-2019, i construir i contribuir entre tots i totes el Pla Municipal.

L’objectiu prioritari és generar un espai de trobada i debat per construir un full de ruta comú i compartit.",17/03/2016,"Carrer del Regomir, 3, 08002 Barcelona, Barcelona, Espanya",,Bon govern,Govern transparent  i rendició de comptes,37,3,7,https://decidim.barcelona/meetings/oficina-de-la-transparencia-i-bones-practiques
522,"Sessió del treball del PAM amb tècnics i tècniques municipals. Migracions, interculturalitat i discriminació zero",La sessió  tenia per finalitat contrastar i enriquir la proposta inicial del PAM en l’àmbit de les migracions i la interculturalitat. ,29/02/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,"Migració, interculturalitat i discriminació zero",16,25,27,https://decidim.barcelona/meetings/sessio-del-treball-del-pam-amb-tecnics-i-tecniques-municipals-migracions-interculturalitat-i-discriminacio-zero
488,Escola Betània - Patmos: Una Barcelona més humana i en transició ecològica (3r ESO B),"A la cita presencial que va tenir lloc a l’Escola Betània- Patmos, 26 estudiants de 3r ESO B (16 nois i 10 noies) van debatre sobre la millora del medi ambient a la ciutat de Barcelona.",29/03/2016,"Avinguda Mare de Déu de Lorda, 2-16, 08034 Barcelona, Espanya",,Transició ecològica,Urbanisme per als barris,27,20,15,https://decidim.barcelona/meetings/escola-betania-patmos-una-barcelona-mes-humana-i-en-transicio-ecologica
489,Com millorar el barri de la Vall d' Hebron,Dialogant amb els ciutadans de la Vall d' Hebron anem recopilant propostes de millora.,04/04/2016,"Plaça de l'Estatut, 08032 Barcelona, Barcelona, España",Horta - Guinardó,Bon govern,Participació ciutadana,8,4,4,https://decidim.barcelona/meetings/com-millorar-el-barri-de-la-vall-d-hebron
490,Sessió carret al mercat del Ninot,"Suscitar idees, reflexions i propostes pel PAD Eixample a través del carret itinerant. ",16/03/2016,"Carrer de Mallorca, 133, 08036 Barcelona, Barcelona, España",Eixample,Transició ecològica,Urbanisme per als barris,80,0,80,https://decidim.barcelona/meetings/sessio-carret-al-mercat-del-ninot
491,Escola Betània - Patmos: Una Barcelona més humana i en transició ecològica (3r ESO A),"A la cita presencial que va tenir lloc a l’Escola Betània- Patmos, 21 estudiants de 3r ESO A (7 nois i 14 noies) van debatre sobre la millora del medi ambient a la ciutat de Barcelona.",29/03/2016,"Avinguda Mare de Déu de Lorda, 2-16, 08034 Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,21,12,0,https://decidim.barcelona/meetings/escola-betania-patmos-una-barcelona-mes-humana-i-en-transicio-ecologica-3r-eso-a
492,Escola Betània - Patmos: Una Barcelona més humana i en transició ecològica (3r ESO C),"A la cita presencial que va tenir lloc a l’Escola Betània- Patmos, 27 estudiants de 3r ESO C (17 nois i 10 noies) van debatre sobre la millora del medi ambient a la ciutat de Barcelona.",29/03/2016,"Av. Mare de Déu de Lorda, 2, 08034 Barcelona, Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,27,15,15,https://decidim.barcelona/meetings/escola-betania-patmos-una-barcelona-mes-humana-i-en-transicio-ecologica-3r-eso-c
493,Escola Sant Ramón Nonat: Una Barcelona més humana i en transició ecològica (4rt ESO B),"A la cita presencial que va tenir lloc a l’Escola Sant Ramón Nonat, 26 estudiants de 4rt ESO B (15 nois i 11 noies) van debatre sobre la millora del medi ambient a la ciutat de Barcelona.",31/03/2016,"Carretera de Collblanc, 72, 08028 Barcelona, Espanya",,Transició ecològica,Energia i canvi climàtic,26,18,10,https://decidim.barcelona/meetings/escola-sant-ramon-nonat-una-barcelona-mes-humana-i-en-transicio-ecologica-4rt-eso-b
494,Escola Sant Ramón Nonat: Una Barcelona més humana i en transició ecològica (4rt ESO A),"A la cita presencial que va tenir lloc a l’Escola Sant Ramón Nonat, 25 estudiants de 4rt ESO A (14 nois i 11 noies) van debatre sobre la millora del medi ambient a la ciutat de Barcelona.",31/03/2016,"Carretera de Collblanc, 72, 08028 Barcelona, Barcelona, Espanya",,Transició ecològica,Mobilitat sostenible,25,4,,https://decidim.barcelona/meetings/escola-sant-ramon-nonat-una-barcelona-mes-humana-i-en-transicio-ecologica-4rt-eso-a
495,Escola Sant Ramón Nonat: Una Barcelona més humana i en transició ecològica (3r ESO A),"A la cita presencial que va tenir lloc a l’Escola Sant Ramón Nonat, 30 estudiants de 3r ESO A (18 nois i 12 noies) van debatre sobre la millora del medi ambient a la ciutat de Barcelona.",31/03/2016,"Carretera de Collblanc, 72, 08028 Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,30,3,,https://decidim.barcelona/meetings/escola-sant-ramon-nonat-una-barcelona-mes-humana-i-en-transicio-ecologica-3r-eso-a
496,Una ciutat diversa. Migració i interculturalitat des d’una perspectiva de drets ,"En el marc del procés participatiu del Pla d’Actuació Municipal
(PAM) 2016-19, aquesta jornada vol ser un espai obert de
trobada entre persones i agents socials dels barris de la
ciutat.
De manera més específica, aquesta sessió vol ser un espai
per compartir i fer propostes que contribueixi",07/04/2016,"Carrer del Regomir, Barcelona, Espanya",,Bon viure,"Migració, interculturalitat i discriminació zero",65,36,90,https://decidim.barcelona/meetings/una-ciutat-diversa-migracio-i-interculturalitat-des-d-una-perspectiva-de-drets
497,Debat del PAM Consell Municipal del Poble Gitano,Debat sobre les propostes del PAM que afecten al poble gitano,06/04/2016,"Plaça Sant Jaume, Plaça de Sant Jaume, Barcelona, Espanya",Ciutat Vella,Bon viure,"Migració, interculturalitat i discriminació zero",10,14,36,https://decidim.barcelona/meetings/debat-del-pam-consell-municipal-del-poble-gitano
498,Escola Sant Ramón Nonat: Una Barcelona més humana i en transició ecològica (3r ESO B),"A la cita presencial que va tenir lloc a l’Escola Sant Ramón Nonat, 27 estudiants de 3r ESO B (18 nois i 8 noies) van debatre sobre la millora del medi ambient a la ciutat de Barcelona.",31/03/2016,"Carretera de Collblanc, 72, 08028 Barcelona, Espanya",,Transició ecològica,Energia i canvi climàtic,27,18,15,https://decidim.barcelona/meetings/escola-sant-ramon-nonat-una-barcelona-mes-humana-i-en-transicio-ecologica-3r-eso-b
499,Millorem l’entorn de l’Equipament Integral d’Horta (2),S’ha fet primer una breu presentació i després s’ha fet un resum d’allò treballat en l’anterior taller. S’ha procedit a l’intercanvi de punts de vista i de suggeriments amb la concreció de propostes.,30/03/2016,"Ronda del Guinardó, 49, 08024 Barcelona, Barcelona, Espanya",Horta - Guinardó,Transició ecològica,Urbanisme per als barris,11,9,2,https://decidim.barcelona/meetings/millorem-l-entorn-de-l-equipament-integral-d-horta-2
500,Centre Cívic Cotxeres de Sants: Bon viure,"Al centre cívic Cotxeres de Sants, 5 infants van participar a un taller on van explicar les seves propostes per a que els ciutadans visquin millor.",02/04/2016,"Carrer de Sants, 79, 08014 Barcelona, Espanya",,Bon viure,Habitatge,5,4,,https://decidim.barcelona/meetings/centre-civic-cotxeres-de-sants-bon-viure
503,La marina del prat vermell: Una Barcelona més humana i en transició ecològica,Aquesta cita presencial va tenir lloc al taller Eduard Aunós. Van participar 22 infants i adolescents (9 nois i 12 noies). Aquests van estar debatent diverses propostes per millorar el medi ambient del seu barri,29/03/2016,"Carrer del Foc, 128, 08038 Barcelona, Barcelona, Espanya",Sants Montjuïc,Transició ecològica,Urbanisme per als barris,22,11,15,https://decidim.barcelona/meetings/la-marina-del-prat-vermell-una-barcelona-mes-humana-i-en-transicio-ecologica-i-que-garanteixi-el-bon-govern
504,Esplai Xiroia: transició ecològica ,"13 joves de l'esplai Xiroia, 6 nois i 7 noies, van participar en un debat on es van tractar diverses qüestions per millorar el medi ambient de Barcelona. Els joves van fer diferents propostes de millora.",02/04/2016,"Carrer de Begur, 8, 08028 Barcelona, Barcelona, Espanya",Ciutat Vella,Transició ecològica,Verd urbà i biodiversitat ,13,5,2,https://decidim.barcelona/meetings/esplai-xiroia-medi-ambient-i-igualtat-de-genere
505,Debatent sobre el Barri amb els alumnes dels Instituts,"Debat amb els adolescents que estudien ESO als tres Instituts de l'Esquerra de l'Eixample. Sessions per grups als Instituts Ernest Lluch, Poeta Maragall i Viladomat.",08/04/2016,"Carrer de Provença, 187, 08036 Barcelona, Barcelona, Espanya",Eixample,Bon viure,Cicles de vida ,243,25,132,https://decidim.barcelona/meetings/debatent-sobre-el-barri-amb-els-alumnes-dels-instituts
506,Escola Els Arcs: Una Barcelona més humana i en transició ecològica (4rt ESO B),"A la cita presencial que va tenir lloc a l'Escola Els Arcs, 29 estudiants van debatre diferents qüestions per millorar el medi ambient de la seva ciutat.",05/04/2016,"Carrer de Copèrnic, 34, 08021 Barcelona, Espanya",Ciutat Vella,Transició ecològica,Urbanisme per als barris,29,4,,https://decidim.barcelona/meetings/escola-els-arcs-una-barcelona-mes-humana-i-en-transicio-ecologica-4rt-eso-b
507,Escola Els Arcs: Una Barcelona més humana i en transició ecològica (4rt ESO C),"A la cita presencial que va tenir lloc a l'Escola Els Arcs, 24 estudiants, 11 nois i 13 noies, van debatre diferents propostes per millorar el medi ambient del seu barri i la seva ciutat.",05/04/2016,"Carrer de Copèrnic, 34, 08021 Barcelona, Espanya",,Transició ecològica,Urbanisme per als barris,29,7,,https://decidim.barcelona/meetings/escola-els-arcs-una-barcelona-mes-humana-i-en-transicio-ecologica-4rt-eso-c
508,Esplai Sant Jordi: Transició ecològica ,"Els nens i nenes de l'esplai Sant Jordi van debatre diferents qüestions per millorar el medi ambient de la ciutat. Van participar tres nens i una nena, de 8-9 anys.",02/04/2016,"Carrer Viaducte de Vallcarca, 7, 08023 Barcelona, Barcelona, Espanya",,Transició ecològica,Mobilitat sostenible,4,2,,https://decidim.barcelona/meetings/esplai-sant-jordi-transicio-ecologica-i-bon-viure
509,Esplai Sant Jordi: Bon viure,"Els nens i nenes de l'esplai Sant Jordi van debatre diferents qüestions per millorar les condicions de vida dels ciutadans i ciutadanes de Barcelona, es van centrar en les persones immigrants. Van participar tres nens i una nena, de 8-9 anys.",02/04/2016,"Carrer Viaducte de Vallcarca, 7, 08023 Barcelona, Espanya",,Bon viure,"Migració, interculturalitat i discriminació zero",4,3,,https://decidim.barcelona/meetings/esplai-sant-jordi-bon-viure
510,Esplai Xiroia: Bon viure,"13 joves de l'esplai Xiroia, 6 nois i 7 noies, van participar en un debat on es van tractar diverses qüestions per avançar cap a la igualtat de gènere a Barcelona. Els joves van fer diferents propostes de millora.",02/04/2016,"Carrer de Begur, 8, 08028 Barcelona, Barcelona, Espanya",,Bon viure,Equitat de gènere i diversitat sexual,13,3,2,https://decidim.barcelona/meetings/esplai-xiroia-bon-viure
523,Sessió de treball del PAM amb tècnics i tècniques municipals. L'autonomia personal i reconeixement de les cures.,La sessió  tenia per finalitat contrastar i enriquir la proposta inicial del PAM en l’àmbit de l'autonomia personal i el reconeixement de les cures.,24/02/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,Autonomia personal ,18,23,33,https://decidim.barcelona/meetings/sessio-de-treball-del-pam-amb-tecnics-i-tecniques-municipals-l-autonomia-personal-i-reconeixement-de-les-cures
513,Esplai Trencaclosques: Una Barcelona més diversa que asseguri el bon viure,"A la cita presencial que va tenir lloc a la seu de l'esplai Trencaclosques, 21 nens entre 8 i 9 anys, 10 nens i 11 nenes, van fer diverses propostes per millorar les condicions de vida de la població, concretament la població immigrant de Barcelona.",02/04/2016,"Carrer de Petrarca, 52, 08031 Barcelona, Espanya",,Bon viure,"Migració, interculturalitat i discriminació zero",21,5,,https://decidim.barcelona/meetings/esplai-trencaclosques-una-barcelona-mes-diversa-que-asseguri-el-bon-viure
516,Esplai Spai-T: Bon viure al barri de la Marina del Port,"Els  joves de l'esplai Spai-T de la Marina del Port han estat debatent diverses propostes per millorar la qualitat de vida del seu barri. Van participar 28 joves, d'11 a 16 anys.",02/04/2016,"Carrer de la Mare de Déu de Port, 350, 08038 Barcelona, Espanya",Sants Montjuïc,Bon viure,Defensa i protecció dels Drets Humans,28,6,,https://decidim.barcelona/meetings/esplai-spai-t-bon-viure-al-barri-de-la-marina-del-port
517,Esplai Spai-T: Mobilitat sostenible,"Els joves de l'esplai Spai-T de la Marina del Port han proposat millorar la xarxa de transport del seu barri. Van participar 28 joves, d'11 a 16 anys",02/04/2016,"Carrer de la Mare de Déu de Port, 350, 08038 Barcelona, Espanya",Sants Montjuïc,Transició ecològica,Mobilitat sostenible,28,1,,https://decidim.barcelona/meetings/esplai-spai-t-mobilitat-sostenible
518,Sessió de treball del PAM amb tècnics i tècniques municipals. Educació i coneixement,"La sessió  tenia per finalitat contrastar i enriquir la proposta inicial del PAM en l’àmbit de l’educació i el coneixement. Contextualitzar la proposta global del PAM 2016-2019, posant l'accent en què es centra en dos eixos fonamentals: la lluita i combat contra les desigualtats; i la promoció d'una política des de, amb i per a la ciutadania.",02/03/2016,"Plaça d'Espanya, 5, 08014 Barcelona, Barcelona, Espanya",,Bon viure,Educació i coneixement ,34,18,40,https://decidim.barcelona/meetings/sessio-de-treball-del-pam-amb-tecnics-i-tecniques-municipals-educacio-i-coneixement
519,Sessió de treball del PAM amb tècnics i tècniques municipals. Sanitat i Salut,La sessió  tenia per finalitat contrastar i enriquir la proposta inicial del PAM en l’àmbit de la Sanitat i Salut. Contextualitzar la proposta global del PAM 2016-2019 i va explicar els objectius i les propostes d'actuació que contempla el PAM en relació a l'àmbit de la salut i la sanitat.,07/03/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,Sanitat i salut,25,36,44,https://decidim.barcelona/meetings/sessio-de-treball-del-pam-amb-tecnics-i-tecniques-municipals-sanitat-i-salut
520,Sessió de treball del PAM amb tècnics i tècniques municipals. Equitat de gènere i diversitat sexual,La sessió  tenia per finalitat contrastar i enriquir la proposta inicial del PAM en l’àmbit de l’Equitat de gènere i diversitat sexual. ,25/02/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,Equitat de gènere i diversitat sexual,17,36,50,https://decidim.barcelona/meetings/sessio-de-treball-del-pam-amb-tecnics-i-tecniques-municipals-equitat-de-genere-i-diversitat-sexual
526,Esplai El Pi: Verd urbà i biodiversitat,8 infants i adolescents de l’esplai El Pi van participar a una cita presencial sobre el medi ambient de la ciutat. Aquests van fer diverses propostes per millorar-lo.,02/04/2016,"Carrer de Begur, 8, 08028 Barcelona, Barcelona, Espanya",,Transició ecològica,Verd urbà i biodiversitat ,8,3,2,https://decidim.barcelona/meetings/esplai-el-pi-verd-urba-i-biodiversitat
531,Esplai El Pi: Equitat de gènere i diversitat sexual,8 infants i adolescents de l’esplai El Pi van participar a una cita presencial sobre l'equitat de gènere i la diversitat sexual. Aquests van fer diverses propostes de millora.,02/04/2016,"Carrer de Begur, 8, 08028 Barcelona, Espanya",,Bon viure,Equitat de gènere i diversitat sexual,12,3,2,https://decidim.barcelona/meetings/esplai-el-pi-equitat-de-genere-i-diversitat-sexual
534,Sessió de treball del Consell LGTBI de Barcelona sobre el Pla per la diversitat sexual i de gènere i el PAM.,"Eix d’actuació	Àmbit d’Educació del Pla per la diversitat sexual i de gènere
Àmbit d’Espai públic del Pla per la diversitat sexual i de gènere
Altres àmbits d’actuació del Pla per la diversitat sexual i de gènere
",31/03/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,Equitat de gènere i diversitat sexual,15,24,28,https://decidim.barcelona/meetings/sessio-de-treball-del-consell-lgtbi-de-barcelona-sobre-el-pla-per-la-diversitat-sexual-i-de-genere-i-el-pam
535,Esplai Passatge: Una Barcelona diversa que asseguri el bon viure,"A la cita presencial que va tenir lloc a l'Escola Fasia, 9 infants i preadolescents (6-13 anys), 8 nens i 1 nena, van estar debatent diferents propostes per millorar les condicions de vida de les persones immigrants.",02/04/2016,"Carrer d'Iradier, 28, 08017 Barcelona, Espanya",,Bon viure,"Migració, interculturalitat i discriminació zero",9,3,,https://decidim.barcelona/meetings/esplai-passatge-una-barcelona-diversa-que-asseguri-el-bon-viure
537,"Esplai Arc iris de l'Esperit Sant: Migració, interculturalitat i discriminació zero","A la cita que va tenir lloc a l'esplai Arc iris de l'Esperit Sant, 14 infants, 5 nens i 9 nenes de 10 a 12 anys, van estar debatent diverses propostes per millorar les condicions de les persones immigrants a Barcelona.",02/04/2016,"Travessera de Gràcia, 401, 08025 Barcelona, Barcelona, Espanya",,Bon viure,"Migració, interculturalitat i discriminació zero",14,7,,https://decidim.barcelona/meetings/esplai-arc-iris-de-l-esperit-sant-migracio-interculturalitat-i-discriminacio-zero
540,La PAM-Mòbil a la Escola de Salut del Raval,,31/03/2016,"Carrer de la Reina Amàlia, 31, 08001 Barcelona, Barcelona, España",Ciutat Vella,Bon viure,Justícia social,26,31,20,https://decidim.barcelona/meetings/la-pam-mobil-a-la-escola-de-salut-del-raval
541,"Consell Sectorial d'Urbanisme, Habitatge, Espai Públic i Serveis Municipals i Manteniment",Espai per debatre els temes urbanístics del Districte,29/03/2016,"Plaça de la Vila de Gràcia, Barcelona, España",Gràcia,Transició ecològica,Urbanisme per als barris,19,26,19,https://decidim.barcelona/meetings/consell-sectorial-d-urbanisme-habitatge-espai-public-i-serveis-municipals-i-manteniment
542,Envelliment actiu,,29/03/2016,Centre Cívic Josep Maria Trias i Peitx,Les Corts,Bon viure,Sanitat i salut,22,5,5,https://decidim.barcelona/meetings/envelliment-actiu-8b6621d6-6bf8-40c0-af69-00a4e0e32277
543,Casal Sant Josep de Calassanç: Una Barcelona diversa que asseguri el bon viure,Els  joves del Casal Sant Josep de Calassanç van estar debatent diverses propostes per millorar les condicions de vida dels ciutadans i ciutadanes de Barcelona. Van participar 13 joves.,02/04/2016,"Carrer de la Indústria, 240, 08026 Barcelona, Espanya",,Bon viure,Justícia social,13,4,,https://decidim.barcelona/meetings/casal-sant-josep-de-calassanc-una-barcelona-diversa-que-asseguri-el-bon-viure
544,Casal Sant Josep de Calassanç: Una Barcelona més humana i en transició ecològica,Els joves del Casal Sant Josep de Calassanç van estar debatent diverses propostes per millorar el medi ambient de Barcelona. Van participar 13 joves.,02/04/2016,"Carrer de la Indústria, 240, 08026 Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,13,4,,https://decidim.barcelona/meetings/casal-sant-josep-de-calassanc-una-barcelona-mes-humana-i-en-transicio-ecologica
546,Esplai Abat Cassià: Barcelona més humana i en transició ecològica,"Els infants i joves de l'esplai Abat Cassià van estar debatent diverses propostes per millorar el medi ambient de Barcelona. Van participar 7 infants, 4 nens i 3 nenes.",02/04/2016,"Carrer de Sors, 30, 08024 Barcelona, Espanya",Gràcia,Transició ecològica,Medi ambient i espai públic,7,12,10,https://decidim.barcelona/meetings/esplai-abat-cassia-barcelona-mes-humana-i-en-transicio-ecologica
547,Agrupament Escolta Terra-nova: Una Barcelona diversa que asseguri el bon viure,"Els joves de l'Agrupament Escolta Terra-nova van participar en una cita presencial on van debatre diverses qüestions per millorar les condicions de vida dels ciutadans i ciutadanes de Barcelona. Van participar 16 joves, 5 nois i 11 noies entre 14 i 16 anys.",02/04/2016,"Carrer de Provença, 591, 08026 Barcelona, Espanya",,Bon viure,Justícia social,16,5,,https://decidim.barcelona/meetings/agrupament-escolta-terra-nova-una-barcelona-diversa-que-asseguri-el-bon-viure
548,Agrupament Escolta Terra-nova: Una Barcelona més humana i en transició ecològica,"Els joves de l'Agrupament Escolta Terra-nova van participar en una cita presencial on van debatre diverses qüestions per millorar el medi ambient de Barcelona. Van participar 16 joves, 5 nois i 11 noies entre 14 i 16 anys.",02/04/2016,"Carrer de Provença, 591, 08026 Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,16,4,,https://decidim.barcelona/meetings/agrupament-escolta-terra-nova-una-barcelona-mes-humana-i-en-transicio-ecologica
549,"Som les Corts, les Corts ets tu",,18/03/2016,"Carrer de Montnegre, 36-42, 08029 Barcelona, Barcelona, España",Les Corts,Bon viure,Autonomia personal ,43,20,5,https://decidim.barcelona/meetings/som-les-corts-les-corts-ets-tu
550,Esplai El Bon Recer: Una Barcelona més humana i en transició ecològica,"Els infants de l'esplai El Bon Recer van participar a una cita presencial on van debatre diverses qüestions per millorar el medi ambient de la ciutat de Barcelona. Van participar 17 infants, entre 6 i 9 anys.",03/04/2016,"Carrer del Consell de Cent, 116, 08015 Barcelona, Barcelona, Espanya",,Transició ecològica,Medi ambient i espai públic,17,6,,https://decidim.barcelona/meetings/esplai-el-bon-recer-una-barcelona-mes-humana-i-en-transicio-ecologica
551,Esplai El Bon Recer: Una Barcelona diversa que asseguri el bon viure,"Els infants de l'esplai El Bon Recer van participar a una cita presencial on van debatre diverses qüestions per les condicions de vida de la ciutat de Barcelona. Van participar 17 infants, entre 6 i 9 anys.",03/04/2016,"Carrer del Consell de Cent, 116, 08015 Barcelona, Espanya",,Bon viure,"Migració, interculturalitat i discriminació zero",17,3,,https://decidim.barcelona/meetings/esplai-el-bon-recer-una-barcelona-diversa-que-asseguri-el-bon-viure
552,Escola Can Maiol: Una Barcelona diversa que asseguri el bon viure_sanitat (1r i 2n primària),"Els infants de l'Escola Can Maiol de l'aula d'integració van participar a una cita presencial on van debatre diferents qüestions per millorar la sanitat a Barcelona. Van participar 8 infants, 5 nenes i 3 nens.",05/04/2016,"Carrer de Sagunt, 92, 08014 Barcelona, Espanya",,Bon viure,Sanitat i salut,8,2,,https://decidim.barcelona/meetings/escola-can-maiol-una-barcelona-diversa-que-asseguri-el-bon-viure-1r-i-2n-primaria
553,"Economia cooperativa, social i solidària. Desenvolupament econòmic i de proximitat.","El debat es centra en l’elaboració de propostes que ajudin a implementar una economia social i solidària al barri de Sant Antoni, promovent aquest desenvolupament econòmic de proximitat entre els comerços i la ciutadania. Per aquesta raó es debat entorn a l’economia solidària i també la comunitària. ",31/03/2016,"Espai Veïnal del Centre Municipal Calàbria, 66",Eixample,Economia plural,"Economia cooperativa, social i solidària",23,13,15,https://decidim.barcelona/meetings/economia-cooperativa-social-i-solidaria-desenvolupament-economic-i-de-proximitat
554,Escola Can Maiol: Una Barcelona diversa que asseguri el bon viure (4rt primària),Els infants de l'Escola Can Maiol de l'aula d'integració van participar a una cita presencial on van debatre diferents qüestions per millorar la sanitat i la salut de la població. Van participar 12 infants de 4rt de primària.,05/04/2016,"Carrer de Sagunt, 92, 08014 Barcelona, Espanya",,Bon viure,Sanitat i salut,12,3,,https://decidim.barcelona/meetings/escola-can-maiol-una-barcelona-diversa-que-asseguri-el-bon-viure-4rt-primaria
555,Espai Jove La Fontana: Una Barcelona més humana i en transició ecològica,"A la cita que va tenir lloc a l'espai jove La Fontana, 32 joves van estar debatent diverses propostes per millorar el medi ambient de la ciutat de Barcelona.",06/04/2016,"Carrer Gran de Gràcia, 190, 08012 Barcelona, Barcelona, Espanya",,Transició ecològica,Mobilitat sostenible,32,20,15,https://decidim.barcelona/meetings/espai-jove-la-fontana-una-barcelona-mes-humana-i-en-transicio-ecologica
